uptime_s,free_mb,total_mb,percent,tensor_layers,metal_broken
 51, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
 51, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 52, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 53, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 54, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 55, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 56, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 57, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 58, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 59, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 60, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 61, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
 62, 12123, 12124, 100,-1,0
